item_id,taxon_name,T,taxon_direction,true_group,S,F
item_000,Bacteroides synthetic_species_001,0.538435221,neutral,neutral,0.501478791,0.579674482
item_001,Subdoligranulum synthetic_species_001,0.511800349,neutral,neutral,0.542873442,0.470545769
item_002,Collinsella synthetic_species_001,0.44582963,healthy_enriched,neutral,0.490635216,0.514480948
item_003,Ruminococcus synthetic_species_001,0.479430825,healthy_enriched,neutral,0.529163778,0.459398329
item_004,Subdoligranulum synthetic_species_002,0.511208415,neutral,neutral,0.504645884,0.491147965
item_005,Roseburia synthetic_species_001,0.458694607,neutral,healthy_enriched,0.460437983,0.184846446
item_006,Prevotella synthetic_species_001,0.493827522,neutral,neutral,0.499899715,0.613945067
item_007,Alistipes synthetic_species_001,0.459020197,neutral,neutral,0.511569202,0.514107049
item_008,Prevotella synthetic_species_002,0.442375243,neutral,neutral,0.499646425,0.443663716
item_009,Dorea synthetic_species_001,0.462719679,neutral,neutral,0.479398757,0.549519897
item_010,Prevotella synthetic_species_003,0.442240775,neutral,neutral,0.514301956,0.534501255
item_011,Alistipes synthetic_species_002,0.525352597,CRC_enriched,neutral,0.49918738,0.527608395
item_012,Ruminococcus synthetic_species_002,0.529213846,CRC_enriched,neutral,0.461462349,0.42383498
item_013,Blautia synthetic_species_001,0.500803709,neutral,neutral,0.517887771,0.396847188
item_014,Bifidobacterium synthetic_species_001,0.444153577,healthy_enriched,healthy_enriched,0.483109742,0.29476288
item_015,Faecalibacterium synthetic_species_001,0.457022667,healthy_enriched,healthy_enriched,0.467313528,0.34200263
item_016,Blautia synthetic_species_002,0.470401019,neutral,neutral,0.516917288,0.350261718
item_017,Prevotella synthetic_species_004,0.48782146,neutral,neutral,0.466222346,0.568018913
item_018,Subdoligranulum synthetic_species_003,0.473731279,neutral,neutral,0.513741314,0.517108083
item_019,Alistipes synthetic_species_003,0.511758506,neutral,neutral,0.5080899,0.551154315
item_020,Oscillibacter synthetic_species_001,0.574693322,neutral,neutral,0.534716308,0.447716832
item_021,Clostridium synthetic_species_001,0.464250624,neutral,neutral,0.503927469,0.54397732
item_022,Eubacterium synthetic_species_001,0.465471566,neutral,healthy_enriched,0.464836359,0.259463727
item_023,Ruminococcus synthetic_species_003,0.576226294,neutral,neutral,0.477390707,0.65655899
item_024,Ruminococcus synthetic_species_004,0.516671181,neutral,neutral,0.510522127,0.479952842
item_025,Anaerostipes synthetic_species_001,0.446979761,healthy_enriched,healthy_enriched,0.498522997,0.372498959
item_026,Dorea synthetic_species_002,0.493893802,healthy_enriched,neutral,0.51388818,0.439092755
item_027,Blautia synthetic_species_003,0.525400162,neutral,neutral,0.492726266,0.469806641
item_028,Dorea synthetic_species_003,0.535127521,CRC_enriched,neutral,0.507752895,0.513476789
item_029,Clostridium synthetic_species_002,0.511481047,CRC_enriched,neutral,0.535378337,0.284749925
item_030,Dorea synthetic_species_004,0.513528466,neutral,neutral,0.513847888,0.603050947
item_031,Ruminococcus synthetic_species_005,0.492938608,neutral,neutral,0.500392318,0.456572533
item_032,Ruminococcus synthetic_species_006,0.514449298,CRC_enriched,neutral,0.472992003,0.277595222
item_033,Clostridium synthetic_species_003,0.522808433,neutral,neutral,0.486304373,0.446704358
item_034,Prevotella synthetic_species_005,0.514192104,neutral,neutral,0.492301702,0.497781247
item_035,Alistipes synthetic_species_004,0.531832159,neutral,neutral,0.490208358,0.629645646
item_036,Ruminococcus synthetic_species_007,0.503557503,CRC_enriched,neutral,0.499116719,0.580665529
item_037,Blautia synthetic_species_004,0.526723027,neutral,neutral,0.501886487,0.42704767
item_038,Prevotella synthetic_species_006,0.519339323,CRC_enriched,neutral,0.550407231,0.480276704
item_039,Dorea synthetic_species_005,0.502002537,neutral,neutral,0.488178909,0.425840437
item_040,Blautia synthetic_species_005,0.466898054,neutral,neutral,0.492718816,0.350633472
item_041,Subdoligranulum synthetic_species_004,0.461154073,neutral,neutral,0.517628908,0.559471846
item_042,Dorea synthetic_species_006,0.528040528,neutral,neutral,0.520638049,0.464391798
item_043,Subdoligranulum synthetic_species_005,0.53844732,neutral,neutral,0.474234492,0.552989125
item_044,Blautia synthetic_species_006,0.52590239,CRC_enriched,neutral,0.483962953,0.431869924
item_045,Clostridium synthetic_species_004,0.537902892,CRC_enriched,neutral,0.518424809,0.436532795
item_046,Parvimonas synthetic_species_001,0.552632749,CRC_enriched,CRC_enriched,0.512378216,0.568605423
item_047,Akkermansia synthetic_species_001,0.44221884,healthy_enriched,healthy_enriched,0.47122249,0.394459099
item_048,Alistipes synthetic_species_005,0.501348317,neutral,neutral,0.518107951,0.400558054
item_049,Prevotella synthetic_species_007,0.506164968,neutral,neutral,0.501762092,0.596928656
item_050,Bacteroides synthetic_species_002,0.496292681,neutral,neutral,0.550629437,0.481639683
item_051,Solobacterium synthetic_species_001,0.549717367,CRC_enriched,CRC_enriched,0.520159245,0.580416501
item_052,Solobacterium synthetic_species_002,0.573416352,CRC_enriched,CRC_enriched,0.504313111,0.66832763
item_053,Prevotella synthetic_species_008,0.516865849,CRC_enriched,neutral,0.475844711,0.53326726
item_054,Oscillibacter synthetic_species_002,0.508378327,neutral,neutral,0.511225104,0.497602403
item_055,Eubacterium synthetic_species_002,0.438217431,neutral,healthy_enriched,0.509620309,0.275880396
item_056,Blautia synthetic_species_007,0.514588475,neutral,neutral,0.500555992,0.580731988
item_057,Collinsella synthetic_species_002,0.493114293,neutral,neutral,0.487448812,0.565457523
item_058,Collinsella synthetic_species_003,0.414666981,neutral,neutral,0.482594967,0.506100178
item_059,Clostridium synthetic_species_005,0.523490369,CRC_enriched,neutral,0.534700036,0.528494179
item_060,Subdoligranulum synthetic_species_006,0.480128109,neutral,neutral,0.491661876,0.471437275
item_061,Clostridium synthetic_species_006,0.499637663,neutral,neutral,0.489832938,0.492056489
item_062,Subdoligranulum synthetic_species_007,0.496931016,neutral,neutral,0.491882235,0.315986723
item_063,Oscillibacter synthetic_species_003,0.513900995,CRC_enriched,neutral,0.523514271,0.466636568
item_064,Ruminococcus synthetic_species_008,0.507168651,neutral,neutral,0.499980599,0.448691666
item_065,Gemella synthetic_species_001,0.553127468,neutral,CRC_enriched,0.533860505,0.746121526
item_066,Prevotella synthetic_species_009,0.502847493,neutral,neutral,0.517225444,0.611586571
item_067,Subdoligranulum synthetic_species_008,0.525672376,neutral,neutral,0.503157794,0.392799973
item_068,Akkermansia synthetic_species_002,0.47691825,healthy_enriched,healthy_enriched,0.510620594,0.258609682
item_069,Oscillibacter synthetic_species_004,0.478635252,neutral,neutral,0.472078234,0.648913741
item_070,Clostridium synthetic_species_007,0.498472512,neutral,neutral,0.482013732,0.46933943
item_071,Bifidobacterium synthetic_species_002,0.474720657,healthy_enriched,healthy_enriched,0.496964782,0.43016243
item_072,Clostridium synthetic_species_008,0.49785772,neutral,neutral,0.498338759,0.64986372
item_073,Alistipes synthetic_species_006,0.504191518,CRC_enriched,neutral,0.500467956,0.451241314
item_074,Alistipes synthetic_species_007,0.497299224,healthy_enriched,neutral,0.513158739,0.40430519
item_075,Agathobacter synthetic_species_001,0.484057605,neutral,healthy_enriched,0.493462712,0.471065164
item_076,Dorea synthetic_species_007,0.523733616,neutral,neutral,0.50041765,0.48792991
item_077,Clostridium synthetic_species_009,0.483647376,healthy_enriched,neutral,0.500492871,0.464850068
item_078,Clostridium synthetic_species_010,0.50043869,neutral,neutral,0.487733573,0.570700824
item_079,Subdoligranulum synthetic_species_009,0.506490886,CRC_enriched,neutral,0.509189069,0.407623738
item_080,Clostridium synthetic_species_011,0.510648608,neutral,neutral,0.519817233,0.621882975
item_081,Bacteroides synthetic_species_003,0.48207733,neutral,neutral,0.498957694,0.513306618
item_082,Ruminococcus synthetic_species_009,0.495069623,neutral,neutral,0.504151881,0.398385406
item_083,Ruminococcus synthetic_species_010,0.49277845,neutral,neutral,0.486275762,0.454792768
item_084,Blautia synthetic_species_008,0.517219782,neutral,neutral,0.504475653,0.407553971
item_085,Peptostreptococcus synthetic_species_001,0.533272028,neutral,CRC_enriched,0.548390806,0.617796063
item_086,Subdoligranulum synthetic_species_010,0.496988624,neutral,neutral,0.500174701,0.58621347
item_087,Alistipes synthetic_species_008,0.491796792,healthy_enriched,neutral,0.512473226,0.424016505
item_088,Dorea synthetic_species_008,0.467094928,neutral,neutral,0.513213396,0.447653651
item_089,Oscillibacter synthetic_species_005,0.505394399,neutral,neutral,0.488323539,0.494013101
item_090,Ruminococcus synthetic_species_011,0.492886901,neutral,neutral,0.493199944,0.529025376
item_091,Faecalibacterium synthetic_species_002,0.472728014,neutral,healthy_enriched,0.467078894,0.377757579
item_092,Ruminococcus synthetic_species_012,0.510744631,neutral,neutral,0.531517267,0.419509441
item_093,Ruminococcus synthetic_species_013,0.482652247,healthy_enriched,neutral,0.49818632,0.565009415
item_094,Blautia synthetic_species_009,0.488983572,healthy_enriched,neutral,0.51501143,0.529844105
