item_id,taxon_name,original_feature_id,rank,true_group,metadata_effect,log2fc_ref
item_000,Ruminococcus synthetic_species_001,synthetic_feature_000,species,neutral,0.0,-0.086114086
item_001,Prevotella synthetic_species_001,synthetic_feature_001,species,neutral,0.0,0.13187376
item_002,Dorea synthetic_species_001,synthetic_feature_002,species,neutral,0.0,0.29902282
item_003,Bacteroides synthetic_species_001,synthetic_feature_003,species,neutral,0.0,0.22184108
item_004,Prevotella synthetic_species_002,synthetic_feature_004,species,neutral,0.0,-0.64751035
item_005,Dorea synthetic_species_002,synthetic_feature_005,species,neutral,0.0,0.0044193696
item_006,Clostridium synthetic_species_001,synthetic_feature_006,species,neutral,0.0,0.034022123
item_007,Clostridium synthetic_species_002,synthetic_feature_007,species,neutral,0.0,-0.2937013
item_008,Alistipes synthetic_species_001,synthetic_feature_008,species,neutral,0.0,-0.11921028
item_009,Dorea synthetic_species_003,synthetic_feature_009,species,neutral,0.41785336,-0.20834325
item_010,Prevotella synthetic_species_003,synthetic_feature_010,species,neutral,0.0,-0.21420783
item_011,Clostridium synthetic_species_003,synthetic_feature_011,species,neutral,0.0,-0.22633517
item_012,Alistipes synthetic_species_002,synthetic_feature_012,species,neutral,0.33949172,-0.2178632
item_013,Clostridium synthetic_species_004,synthetic_feature_013,species,neutral,0.63955665,-0.07452461
item_014,Oscillibacter synthetic_species_001,synthetic_feature_014,species,neutral,0.35130864,0.029882172
item_015,Blautia synthetic_species_001,synthetic_feature_015,species,neutral,0.0,-0.10928086
item_016,Ruminococcus synthetic_species_002,synthetic_feature_016,species,neutral,0.0,0.20023426
item_017,Subdoligranulum synthetic_species_001,synthetic_feature_017,species,neutral,-0.38552034,0.37670794
item_018,Blautia synthetic_species_002,synthetic_feature_018,species,neutral,0.0,-0.21358278
item_019,Coprococcus synthetic_species_001,synthetic_feature_019,species,healthy_enriched,-0.7036922,-0.4181781
item_020,Oscillibacter synthetic_species_002,synthetic_feature_020,species,neutral,0.0,-0.14690427
item_021,Oscillibacter synthetic_species_003,synthetic_feature_021,species,neutral,0.0,-0.20704493
item_022,Bacteroides synthetic_species_002,synthetic_feature_022,species,neutral,0.0,-0.005673325
item_023,Oscillibacter synthetic_species_004,synthetic_feature_023,species,neutral,0.0,-0.11917124
item_024,Clostridium synthetic_species_005,synthetic_feature_024,species,neutral,0.0,-0.24130598
item_025,Alistipes synthetic_species_003,synthetic_feature_025,species,neutral,0.0,0.09393782
item_026,Peptostreptococcus synthetic_species_001,synthetic_feature_026,species,CRC_enriched,0.78362525,0.2502089
item_027,Clostridium synthetic_species_006,synthetic_feature_027,species,neutral,0.0,0.06734015
item_028,Alistipes synthetic_species_004,synthetic_feature_028,species,neutral,0.0,-0.0507548
